unit_id,blood_type,collected_at,expires_at,status,hospital_request_id,handed_over_at,disposed_at,created_at
1,B+,2021-07-26 14:11:00,2021-09-06 14:11:00,handed_over,2419.0,2021-08-04 14:11:00,,2021-07-26 14:11:00
2,O-,2021-10-09 16:56:00,2021-11-20 16:56:00,handed_over,6246.0,2021-10-15 16:56:00,,2021-10-09 16:56:00
3,O+,2023-07-29 01:05:00,2023-09-09 01:05:00,handed_over,9717.0,2023-08-04 01:05:00,,2023-07-29 01:05:00
4,B-,2024-06-15 15:48:00,2024-07-27 15:48:00,handed_over,7974.0,2024-06-20 15:48:00,,2024-06-15 15:48:00
5,A+,2017-05-19 19:08:00,2017-06-30 19:08:00,disposed,,,2017-06-30 19:08:00,2017-05-19 17:08:00
6,A+,2025-04-09 04:22:00,2025-05-21 04:22:00,disposed,,,2025-05-20 04:22:00,2025-04-09 03:22:00
7,A+,2022-01-17 05:55:00,2022-02-28 05:55:00,available,,,,2022-01-17 04:55:00
8,O+,2017-12-18 16:56:00,2018-01-29 16:56:00,handed_over,6438.0,2017-12-20 16:56:00,,2017-12-18 15:56:00
9,AB+,2024-04-28 00:12:00,2024-06-09 00:12:00,available,,,,2024-04-27 23:12:00
10,AB-,2021-04-30 05:58:00,2021-06-11 05:58:00,handed_over,2176.0,2021-05-07 05:58:00,,2021-04-30 04:58:00
11,A+,2020-03-21 00:29:00,2020-05-02 00:29:00,handed_over,3606.0,2020-03-22 00:29:00,,2020-03-21 00:29:00
12,O-,2016-04-19 02:22:00,2016-05-31 02:22:00,handed_over,8059.0,2016-04-25 02:22:00,,2016-04-19 01:22:00
13,O+,2017-10-11 18:18:00,2017-11-22 18:18:00,available,,,,2017-10-11 17:18:00
14,A+,2025-12-13 22:03:00,2026-01-24 22:03:00,disposed,,,2026-01-20 22:03:00,2025-12-13 22:03:00
15,A+,2017-08-18 18:41:00,2017-09-29 18:41:00,available,,,,2017-08-18 17:41:00
16,A+,2017-12-31 01:03:00,2018-02-11 01:03:00,available,,,,2017-12-31 01:03:00
17,B+,2020-11-18 05:06:00,2020-12-30 05:06:00,available,,,,2020-11-18 05:06:00
18,B+,2016-04-21 06:49:00,2016-06-02 06:49:00,handed_over,3722.0,2016-04-25 06:49:00,,2016-04-21 04:49:00
19,B+,2018-08-05 21:18:00,2018-09-16 21:18:00,available,,,,2018-08-05 20:18:00
20,A-,2020-12-05 19:41:00,2021-01-16 19:41:00,available,,,,2020-12-05 18:41:00
21,AB+,2023-08-28 17:15:00,2023-10-09 17:15:00,available,,,,2023-08-28 16:15:00
22,A+,2022-04-12 16:21:00,2022-05-24 16:21:00,available,,,,2022-04-12 16:21:00
23,A-,2018-06-27 11:09:00,2018-08-08 11:09:00,available,,,,2018-06-27 09:09:00
24,B+,2021-01-30 07:20:00,2021-03-13 07:20:00,available,,,,2021-01-30 06:20:00
25,B+,2018-02-28 17:01:00,2018-04-11 17:01:00,handed_over,9093.0,2018-03-03 17:01:00,,2018-02-28 17:01:00
